% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
2277	2	13	16	0	8	209	0	1	1	1
2277	3	24	23	0	4	225	0	1	1	0
2278	1	12	4	0	12	149	0	1	1	0
2278	1	15	13	0	28	549	0	1	0	0
2278	1	13	16	0	8	101	0	1	0	0
2278	1	7	25	0	8	101	0	1	0	0
2278	3	30	25	0	4	225	0	1	1	0
2279	3	17	14	0	6	153	0	1	1	0
2279	3	20	29	0	28	1095	0	1	1	0
2280	1	3	14	0	8	437	0	1	1	0
2280	3	26	16	0	8	137	0	1	1	0
2280	3	20	29	0	28	1095	2	0	1	0
2281	1	12	4	0	12	301	0	1	0	0
2281	1	4	18	0	28	1095	0	1	0	0
2281	3	17	14	0	6	101	0	1	0	0
2281	3	28	26	0	8	137	0	1	1	0
2281	3	23	30	0	28	749	0	1	1	0
2282	1	2	1	0	8	437	0	1	1	0
2282	3	22	28	0	28	2292	0	1	0	0
2283	1	10	3	0	6	153	0	1	1	0
2283	1	5	15	0	4	105	0	1	1	0
2283	2	10	3	0	6	153	0	1	0	1
2283	2	5	15	0	4	105	0	1	1	1
2283	3	16	17	0	6	325	0	1	1	0
2284	1	8	17	0	8	437	0	1	1	0
2285	1	6	23	0	8	209	0	1	1	0
2285	1	11	24	0	12	301	0	1	1	0
2286	1	13	16	0	8	437	0	1	1	0
2286	3	27	24	0	8	437	0	1	1	0
2287	1	15	13	0	28	2292	0	1	1	0
2288	1	4	18	0	28	1095	1	0	1	0
2288	3	29	3	0	10	549	0	1	1	0
2289	3	22	28	0	28	2292	1	0	1	0
2289	4	19	1	0	4	225	0	1	1	1
2290	1	1	12	0	28	2292	0	1	1	0
2291	3	21	15	0	10	261	0	1	1	0
2291	3	24	23	0	4	105	0	1	1	0
2291	4	21	15	0	10	261	0	1	0	1
2291	4	24	23	0	4	105	0	1	1	1
2292	1	14	2	0	6	153	0	1	1	0
2292	1	9	26	0	8	209	0	1	1	0
2292	3	20	29	0	28	2292	0	1	0	0
2293	3	22	28	0	28	2292	0	1	1	0
2294	1	7	25	0	8	437	0	1	1	0
2294	3	17	14	0	6	325	0	1	1	0
2295	3	25	4	0	8	437	0	1	1	0
2296	1	2	1	0	8	209	0	1	1	0
2296	1	12	4	0	12	301	0	1	1	0
2296	2	2	1	0	8	209	0	1	1	1
2296	2	12	4	0	12	301	0	1	1	1
2296	3	29	3	0	10	261	0	1	1	0
2296	3	24	23	0	4	105	0	1	0	0
2297	3	28	26	0	8	437	0	1	1	0
2298	1	3	14	0	8	437	0	1	1	0
2299	1	4	18	0	28	2292	0	1	0	0
2299	3	20	29	0	28	2292	1	0	0	0
2299	4	26	16	0	8	209	0	1	1	1
2299	4	23	30	0	28	1095	0	1	1	1
2300	1	6	23	0	8	437	0	1	1	0
2300	3	26	16	0	8	137	0	1	0	0
2300	3	16	17	0	6	101	0	1	1	0
2300	3	23	30	0	28	749	0	1	0	0
2301	1	13	16	0	8	437	0	1	1	0
2302	1	2	1	0	8	209	0	1	0	0
2302	1	10	3	0	6	153	0	1	1	0
2302	3	19	1	0	4	225	0	1	1	0
2303	3	30	25	0	4	225	0	1	1	0
2304	1	11	24	0	12	621	0	1	1	0
2304	3	24	23	0	4	225	0	1	1	0
2305	3	27	24	0	8	437	0	1	1	0
2306	1	4	18	0	28	2292	1	0	0	0
2306	3	20	29	0	28	2292	2	0	1	0
2307	1	14	2	0	6	325	0	1	1	0
2307	3	18	2	0	10	549	0	1	1	0
2309	1	15	13	0	28	2292	0	1	0	0
2309	3	27	24	0	8	209	0	1	0	0
2309	3	20	29	0	28	1095	0	1	0	0
2310	3	25	4	0	8	209	0	1	1	0
2310	3	17	14	0	6	153	0	1	1	0
