% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
2198	3	23	30	0	28	1095	0	1	0
2198	3	24	23	0	4	105	0	1	0
2198	4	23	30	0	28	2292	0	1	1
2199	1	12	4	0	12	301	0	1	0
2199	1	15	13	0	28	1095	0	1	0
2199	2	12	4	0	12	301	0	1	1
2199	2	15	13	0	28	1095	0	1	1
2199	3	17	14	0	6	325	0	1	0
2199	4	17	14	0	6	325	0	1	1
2200	1	5	15	0	4	225	0	1	0
2200	2	5	15	0	4	225	0	1	1
2200	3	20	29	0	28	1095	0	0	0
2200	3	27	24	0	8	209	0	1	0
2200	4	27	24	0	8	437	0	1	1
2201	1	12	4	0	12	621	0	1	0
2201	2	12	4	0	12	621	0	1	1
2201	3	21	15	0	10	549	0	1	0
2201	4	21	15	0	10	549	0	1	1
2202	1	4	18	0	28	1095	0	0	0
2202	1	5	15	0	4	105	0	1	0
2202	2	5	15	0	4	225	0	1	1
2203	1	11	24	0	12	201	0	0	0
2203	3	19	1	0	4	225	0	1	0
2203	4	19	1	0	4	105	0	1	1
2203	4	29	3	0	10	261	0	0	1
2204	1	2	1	0	8	437	0	1	0
2204	2	2	1	0	8	437	0	1	1
2204	3	23	30	0	28	2292	0	1	0
2204	4	23	30	0	28	2292	0	1	1
2205	1	1	12	0	28	1095	0	0	0
2205	1	15	13	0	28	1095	0	1	0
2205	2	15	13	0	28	2292	0	1	1
2205	3	23	30	0	28	1095	0	0	0
2205	3	25	4	0	8	137	0	1	0
2205	4	25	4	0	8	209	0	1	1
2205	4	17	14	0	6	153	0	1	1
2206	1	4	18	0	28	749	0	1	0
2206	1	15	13	0	28	1095	0	0	0
2206	2	10	3	0	6	153	0	1	1
2206	2	4	18	0	28	1095	0	1	1
2206	3	17	14	0	6	153	0	1	0
2206	3	26	16	0	8	209	0	1	0
2206	4	26	16	0	8	437	0	1	1
2207	1	4	18	0	28	749	0	1	0
2207	1	6	23	0	8	137	0	1	0
2207	1	10	3	0	6	101	0	1	0
2207	2	4	18	0	28	1095	0	1	1
2207	2	6	23	0	8	209	0	1	1
2207	3	20	29	0	28	1095	0	0	0
2207	3	26	16	0	8	209	0	1	0
2207	4	26	16	0	8	437	0	1	1
2208	1	13	16	0	8	437	0	1	0
2208	2	13	16	0	8	437	0	1	1
2209	1	1	12	0	28	2292	0	1	0
