% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
1.141	1	3	115	2	14	24	1620	0	0	1
1.141	3	16	115	2	17	20	1191	0	0	0
1.141	3	28	115	2	26	24	1620	0	0	1
1.142	1	10	115	3	3	20	1191	0	0	0
1.142	1	10	115	3	3	20	1191	0	0	1
1.142	3	19	115	3	1	22	1383	0	0	0
1.142	3	19	115	3	1	22	1383	0	0	1
1.143	1	14	115	4	2	24	1620	0	0	0
1.143	3	30	115	4	25	20	1191	0	0	0
1.143	3	16	115	4	17	20	1191	0	0	1
1.144	1	6	115	5	23	24	1620	0	0	0
1.144	3	18	115	5	2	26	1836	0	0	0
1.144	3	22	115	5	28	20	1191	0	0	1
1.145	1	7	115	6	25	20	1191	0	0	0
1.145	1	11	115	6	24	24	1620	0	0	1
1.145	3	21	115	6	15	26	1836	0	0	0
1.145	3	17	115	6	14	22	1383	0	0	1
1.146	1	11	115	7	24	14	775	0	0	0
1.146	1	5	115	7	15	22	1383	0	0	1
1.146	3	26	115	7	16	12	597	0	0	0
1.146	3	26	115	7	16	22	1383	0	0	1
1.147	1	13	115	8	16	12	597	0	0	0
1.147	1	13	115	8	16	12	597	0	0	1
1.147	3	27	115	8	24	14	775	0	0	0
1.147	3	27	115	8	24	14	775	0	0	1
1.148	1	3	115	9	14	24	1620	0	0	0
1.148	1	3	115	9	14	24	1620	0	0	1
1.148	3	16	115	9	17	20	1191	0	0	0
1.148	3	28	115	9	26	24	1620	0	0	1
1.149	1	10	115	10	3	20	1191	0	0	0
1.149	1	10	115	10	3	20	1191	0	0	1
1.149	3	19	115	10	1	22	1383	0	0	0
1.149	3	19	115	10	1	22	1383	0	0	1
1.15	1	4	116	1	18	12	597	0	0	0
1.15	1	4	116	1	18	12	597	0	0	1
1.15	3	20	116	1	29	14	775	0	0	0
1.15	3	20	116	1	29	14	775	0	0	1
1.151	1	4	116	2	18	24	1620	0	0	0
1.151	1	13	116	2	16	22	1383	0	0	1
1.151	3	17	116	2	14	22	1383	0	0	0
1.151	3	30	116	2	25	20	1191	0	0	1
1.152	1	7	116	3	25	20	1191	0	0	0
1.152	1	11	116	3	24	24	1620	0	0	1
1.152	3	26	116	3	16	22	1383	0	0	0
1.152	3	17	116	3	14	22	1383	0	0	1
1.153	1	11	116	4	24	14	775	0	0	0
1.153	1	5	116	4	15	22	1383	0	0	1
1.153	3	20	116	4	29	14	775	0	0	0
1.153	3	26	116	4	16	22	1383	0	0	1
1.154	1	13	116	5	16	12	597	0	0	0
1.154	1	2	116	5	1	8	421	0	0	1
1.154	3	27	116	5	24	14	775	0	0	0
1.154	3	27	116	5	24	14	775	0	0	1
1.155	1	15	116	6	13	12	597	0	0	0
1.155	1	15	116	6	13	12	597	0	0	1
1.155	3	16	116	6	17	20	1191	0	0	0
1.155	3	20	116	6	29	14	775	0	0	1
1.156	1	15	116	7	13	12	597	0	0	0
1.156	1	15	116	7	13	12	597	0	0	1
1.156	3	23	116	7	30	12	597	0	0	0
1.156	3	23	116	7	30	12	597	0	0	1
1.157	1	2	116	8	1	8	421	0	0	0
1.157	1	1	116	8	12	12	597	0	0	1
1.157	3	23	116	8	30	12	597	0	0	0
1.157	3	23	116	8	30	12	597	0	0	1
1.158	1	4	116	9	18	24	1620	0	0	0
1.158	1	13	116	9	16	22	1383	0	0	1
1.158	3	17	116	9	14	22	1383	0	0	0
1.158	3	30	116	9	25	20	1191	0	0	1
1.159	1	1	116	10	12	12	597	0	0	0
1.159	1	4	116	10	18	12	597	0	0	1
1.159	3	28	116	10	26	12	597	0	0	0
1.159	3	24	116	10	23	8	421	0	0	1
1.16	1	2	117	1	1	20	1191	0	0	0
1.16	1	1	117	1	12	12	597	0	0	1
1.16	3	24	117	1	23	8	421	0	0	0
1.16	3	24	117	1	23	8	421	0	0	1
1.161	1	5	117	2	15	22	1383	0	0	0
1.161	1	2	117	2	1	8	421	0	0	1
1.161	3	22	117	2	28	20	1191	0	0	0
1.161	3	28	117	2	26	12	597	0	0	1
1.162	1	1	117	3	12	24	1620	0	0	0
1.162	1	2	117	3	1	20	1191	0	0	1
1.162	3	24	117	3	23	20	1191	0	0	0
1.162	3	24	117	3	23	8	421	0	0	1
1.163	1	5	117	4	15	22	1383	0	0	1
1.163	3	22	117	4	28	20	1191	0	0	1
1.164	3	29	117	5	3	14	775	0	0	0
1.164	3	29	117	5	3	22	1383	0	0	1
1.165	1	8	117	6	17	12	597	0	0	0
1.165	1	8	117	6	17	26	1836	0	0	1
1.165	3	29	117	6	3	14	775	0	0	0
1.166	1	8	117	7	17	12	597	0	0	0
1.167	1	2	117	8	1	20	1191	0	0	0
1.168	1	5	117	9	15	22	1383	0	0	0
1.168	3	22	117	9	28	20	1191	0	0	0
1.17	1	9	118	1	26	14	775	0	0	0
1.17	1	9	118	1	26	26	1836	0	0	1
1.171	1	9	118	2	26	26	1836	0	0	0
1.172	1	7	118	3	25	20	1191	0	0	0
1.172	1	7	118	3	25	20	1191	0	0	1
1.173	1	14	118	4	2	24	1620	0	0	0
1.173	1	14	118	4	2	24	1620	0	0	1
1.174	1	12	118	5	4	24	1620	0	0	0
1.174	1	12	118	5	4	24	1620	0	0	1
1.174	3	25	118	5	4	24	1620	0	0	0
1.174	3	25	118	5	4	24	1620	0	0	1
1.175	3	22	118	6	28	20	1191	0	0	0
1.178	3	30	118	9	25	20	1191	0	0	0
1.178	3	30	118	9	25	20	1191	0	0	1
1.179	1	6	118	10	23	24	1620	0	0	0
1.179	1	6	118	10	23	24	1620	0	0	1
1.179	3	18	118	10	2	26	1836	0	0	0
1.179	3	18	118	10	2	26	1836	0	0	1
1.18	3	21	119	1	15	26	1836	0	0	0
1.18	3	21	119	1	15	26	1836	0	0	1
1.181	1	12	119	2	4	24	1620	0	0	0
1.181	1	12	119	2	4	24	1620	0	0	1
1.181	3	25	119	2	4	24	1620	0	0	0
1.181	3	25	119	2	4	24	1620	0	0	1
1.182	1	13	119	3	16	22	1383	0	0	0
1.182	1	13	119	3	16	22	1383	0	0	1
1.182	3	27	119	3	24	22	1383	0	0	0
1.182	3	27	119	3	24	22	1383	0	0	1
1.183	1	3	119	4	14	24	1620	0	0	0
1.183	1	3	119	4	14	24	1620	0	0	1
1.183	3	28	119	4	26	24	1620	0	0	0
1.183	3	28	119	4	26	24	1620	0	0	1
1.184	1	10	119	5	3	20	1191	0	0	0
1.184	1	10	119	5	3	20	1191	0	0	1
1.184	3	19	119	5	1	22	1383	0	0	0
1.184	3	19	119	5	1	22	1383	0	0	1
1.186	1	6	119	7	23	24	1620	0	0	0
1.186	3	18	119	7	2	26	1836	0	0	0
1.186	3	22	119	7	28	20	1191	0	0	1
1.187	1	11	119	8	24	14	775	0	0	0
1.187	1	11	119	8	24	24	1620	0	0	1
1.187	3	17	119	8	14	12	597	0	0	0
1.187	3	17	119	8	14	22	1383	0	0	1
1.188	1	11	119	9	24	14	775	0	0	0
1.188	1	5	119	9	15	22	1383	0	0	1
1.188	3	26	119	9	16	12	597	0	0	0
1.188	3	26	119	9	16	22	1383	0	0	1
1.189	1	13	119	10	16	22	1383	0	0	0
1.189	1	13	119	10	16	22	1383	0	0	1
1.189	3	27	119	10	24	22	1383	0	0	0
1.189	3	27	119	10	24	22	1383	0	0	1
1.19	1	3	120	1	14	24	1620	0	0	0
1.19	1	3	120	1	14	24	1620	0	0	1
1.19	3	28	120	1	26	24	1620	0	0	0
1.19	3	28	120	1	26	24	1620	0	0	1
1.191	1	10	120	2	3	20	1191	0	0	0
1.191	1	10	120	2	3	20	1191	0	0	1
1.191	3	19	120	2	1	22	1383	0	0	0
1.191	3	19	120	2	1	22	1383	0	0	1
1.192	1	5	120	3	15	10	469	0	0	0
1.192	3	23	120	3	30	12	597	0	0	0
1.192	3	23	120	3	30	12	597	0	0	1
1.193	1	5	120	4	15	22	1383	0	0	0
1.193	3	16	120	4	17	20	1191	0	0	0
1.193	3	23	120	4	30	24	1620	0	0	1
1.194	1	1	120	5	12	24	1620	0	0	0
